.text,00400AF6,,B21,T,BAADFFFFFF,mov,mov_15,edx,0FFFFFFADh,1,5,N,,mov,C
.text,00400AFB,,B21,T,0FAFC2,imul,imul_11,eax,edx,1,1,N,,imul,C
.text,00400AFE,,B21,T,8845E4,mov,mov_41,[rbp-1Ch],al,4,1,N,,mov,C
.text,00400B01,,B21,T,488B8548FFFFFF,mov,mov_14,rax,[rbp-0B8h],1,4,N,,mov,C
.text,00400B08,,B21,T,4883C001,add,add_15,rax,1,1,5,N,,add,C
.text,00400B0C,,B21,T,0FB600,movzx,movzx_13,eax,byte ptr [rax],1,3,N,,movzx,C
.text,00400B0F,,B21,T,83C077,add,add_15,eax,77h,1,5,N,,add,C
.text,00400B12,,B21,T,8845E5,mov,mov_41,[rbp-1Bh],al,4,1,N,,mov,C
.text,00400B15,,B21,T,488B8548FFFFFF,mov,mov_14,rax,[rbp-0B8h],1,4,N,,mov,C
.text,00400B1C,,B21,T,4883C002,add,add_15,rax,2,1,5,N,,add,C
.text,00400B20,,B21,T,0FB600,movzx,movzx_13,eax,byte ptr [rax],1,3,N,,movzx,C
.text,00400B23,,B21,T,83C006,add,add_15,eax,6,1,5,N,,add,C
.text,00400B26,,B21,T,8845E6,mov,mov_41,[rbp-1Ah],al,4,1,N,,mov,C
.text,00400B29,,B21,T,488B8548FFFFFF,mov,mov_14,rax,[rbp-0B8h],1,4,N,,mov,C
.text,00400B30,,B21,T,0FB600,movzx,movzx_13,eax,byte ptr [rax],1,3,N,,movzx,C
.text,00400B33,,B21,T,0FB6D0,movzx,movzx_11,edx,al,1,1,N,,movzx,C
.text,00400B36,,B21,T,488B8548FFFFFF,mov,mov_14,rax,[rbp-0B8h],1,4,N,,mov,C
.text,00400B3D,,B21,T,4883C003,add,add_15,rax,3,1,5,N,,add,C
.text,00400B41,,B21,T,0FB600,movzx,movzx_13,eax,byte ptr [rax],1,3,N,,movzx,C
.text,00400B44,,B21,T,0FB6C0,movzx,movzx_11,eax,al,1,1,N,,movzx,C
.text,00400B47,,B21,T,0FAFC2,imul,imul_11,eax,edx,1,1,N,,imul,C
.text,00400B4A,,B21,T,4898,cdqe,cdqe_10,,,1,0,N,,cdqe,C
.text,00400B4C,,B21,T,89C1,mov,mov_11,ecx,eax,1,1,N,,mov,C
.text,00400B4E,,B21,T,488B8548FFFFFF,mov,mov_14,rax,[rbp-0B8h],1,4,N,,mov,C
.text,00400B55,,B21,T,4883C001,add,add_15,rax,1,1,5,N,,add,C
.text,00400B59,,B21,T,0FB600,movzx,movzx_13,eax,byte ptr [rax],1,3,N,,movzx,C
.text,00400B5C,,B21,T,0FB6D0,movzx,movzx_11,edx,al,1,1,N,,movzx,C
.text,00400B5F,,B21,T,0FB645E6,movzx,movzx_14,eax,byte ptr [rbp-1Ah],1,4,N,,movzx,C
.text,00400B63,,B21,T,0FB6C0,movzx,movzx_11,eax,al,1,1,N,,movzx,C
.text,00400B66,,B21,T,4869C06E09C433,imul,imul_11,rax,,1,1,N,,imul,C
.text,00400B6D,,B21,T,4801D0,add,add_11,rax,rdx,1,1,N,,add,C
.text,00400B70,,B21,T,89C2,mov,mov_11,edx,eax,1,1,N,,mov,C
.text,00400B72,,B21,T,89C8,mov,mov_11,eax,ecx,1,1,N,,mov,C
.text,00400B74,,B21,T,0FAFC2,imul,imul_11,eax,edx,1,1,N,,imul,C
.text,00400B77,,B21,T,8845E7,mov,mov_41,[rbp-19h],al,4,1,N,,mov,C
.text,00400B7A,,B21,T,488D8560FFFFFF,lea,lea_14,rax,[rbp-0A0h],1,4,N,,lea,C
.text,00400B81,,B21,T,BE00000000,mov,mov_15,esi,0,1,5,N,,mov,C
.text,00400B86,,B21,T,4889C7,mov,mov_11,rdi,rax,1,1,N,,mov,C
.text,00400B89,,B21,T,B800000000,mov,mov_15,eax,0,1,5,N,,mov,C
.text,00400B8E,,B21,T,E8EDFAFFFF,call,call_70,_gettimeofday,,7,0,J,.CODE,call.CODE,C
.text,00400B93,,B21,T,8945F8,mov,mov_41,[rbp-8],eax,4,1,N,,mov,C
.text,00400B96,,B21,T,488B8560FFFFFF,mov,mov_14,rax,[rbp-0A0h],1,4,N,,mov,C
